customer_id,order_id,product_category,purchase_date,return_request_date,days_to_return_request,return_window_days,within_return_window,order_value_inr,discount_applied,discount_percent,customer_total_orders,customer_past_returns,customer_return_rate,customer_account_age_days,same_address_accounts,return_reason,item_returned_matches_order,item_condition_on_return,delivery_confirmed,claimed_non_delivery,return_pickup_attempted,return_pickup_successful,return_request_weekday,return_after_weekend,refund_amount_inr,previous_fraud_flag,support_contacts_pre_return,is_fraud,fraud_type
CUST95664,ORD233730,home_decor,2023-12-14,2023-12-19,5,14,1,2298.17,1,17,11,3,0.273,1615,1,wrong_item_sent,1,lightly_used,1,0,1,1,1,1,2183.26,0,0,0,none
CUST33877,ORD483474,clothing,2022-08-28,2022-08-29,1,14,1,3356.5,1,12,2,3,1.0,217,1,not_as_described,0,new_without_tags,1,0,1,1,0,1,3325.12,0,3,1,item_switching
CUST92913,ORD740037,footwear,2022-04-27,2022-05-13,16,30,1,2940.11,1,14,8,3,0.375,514,1,changed_mind,1,lightly_used,1,0,1,1,4,0,2793.1,0,1,0,none
CUST75160,ORD364589,footwear,2022-07-19,2022-08-07,19,14,0,2415.91,0,0,17,4,0.235,246,2,defective_product,0,lightly_used,1,0,1,0,6,0,2381.33,0,1,1,item_switching
CUST57265,ORD643471,clothing,2022-03-07,2022-03-24,17,7,0,1250.29,1,23,3,3,1.0,1101,1,size_issue,1,new_with_tags,1,0,1,1,3,0,1187.78,0,0,0,none
CUST39428,ORD725843,electronics,2022-04-23,2022-05-02,9,30,1,2262.36,1,10,25,2,0.08,263,1,size_issue,1,new_with_tags,1,0,1,1,0,1,2149.24,0,1,0,none
CUST82737,ORD784963,electronics,2024-02-05,2024-02-12,7,30,1,730.68,0,0,13,2,0.154,890,1,defective_product,1,new_with_tags,1,0,1,1,0,1,694.15,0,0,0,none
CUST89619,ORD745210,clothing,2022-03-07,2022-03-14,7,7,1,3164.78,1,28,17,6,0.353,116,1,defective_product,0,new_without_tags,1,0,0,0,0,1,3070.95,0,2,1,wardrobing
CUST20500,ORD400988,footwear,2023-07-05,2023-07-21,16,30,1,2085.05,0,0,15,2,0.133,936,1,defective_product,1,lightly_used,1,0,1,1,4,0,1980.8,0,0,0,none
CUST18357,ORD146803,clothing,2022-10-17,2022-11-02,16,14,0,2786.63,1,20,23,2,0.087,932,1,size_issue,1,new_without_tags,1,0,1,1,2,0,2647.3,0,0,0,none
CUST32149,ORD568394,footwear,2022-11-30,2022-12-20,20,14,0,780.29,1,9,24,0,0.0,1213,1,size_issue,1,lightly_used,1,0,1,1,1,1,741.28,0,0,0,none
CUST36330,ORD178641,accessories,2022-01-26,2022-02-04,9,14,1,2134.1,1,22,8,0,0.0,975,1,wrong_item_sent,1,lightly_used,1,0,1,1,4,0,2027.39,0,1,0,none
CUST73556,ORD876396,accessories,2022-03-07,2022-03-10,3,30,1,1333.54,0,0,7,0,0.0,598,1,defective_product,1,new_without_tags,1,0,1,1,3,0,1266.86,0,1,0,none
CUST33992,ORD675402,footwear,2023-10-31,2023-11-19,19,30,1,1612.99,1,22,12,2,0.167,1595,1,defective_product,1,damaged,1,0,1,1,6,0,1532.34,0,0,0,none
CUST25608,ORD429727,footwear,2022-11-29,2022-12-07,8,14,1,827.83,0,0,22,2,0.091,404,1,size_issue,1,new_with_tags,1,0,1,1,2,0,786.44,0,1,0,none
CUST56438,ORD934301,clothing,2022-10-20,2022-10-29,9,14,1,1254.05,1,11,8,1,0.125,1364,1,wrong_item_sent,1,lightly_used,1,0,1,1,5,0,1191.35,0,0,0,none
CUST73527,ORD336001,footwear,2022-06-09,2022-06-28,19,7,0,785.83,0,0,22,0,0.0,893,1,defective_product,1,new_with_tags,1,0,1,1,1,1,746.54,0,0,0,none
CUST96013,ORD383648,electronics,2022-07-01,2022-07-14,13,14,1,957.16,1,18,11,3,0.273,1377,1,changed_mind,1,new_with_tags,1,0,1,1,3,0,909.3,0,0,0,none
CUST78490,ORD212783,clothing,2023-10-19,2023-11-03,15,7,0,883.19,1,10,26,2,0.077,1550,1,defective_product,1,new_with_tags,1,0,1,1,4,0,839.03,0,0,0,none
CUST30379,ORD362867,accessories,2024-04-23,2024-05-01,8,14,1,1285.04,1,21,6,2,0.333,1073,1,not_as_described,1,new_without_tags,1,0,1,0,2,0,1220.79,0,2,0,none
CUST25544,ORD258070,clothing,2024-01-03,2024-01-10,7,7,1,2061.93,0,0,3,3,1.0,1201,1,wrong_item_sent,1,lightly_used,1,0,1,1,2,0,1958.83,0,0,0,none
CUST65435,ORD223792,clothing,2024-04-24,2024-05-09,15,30,1,610.49,0,0,19,2,0.105,1682,1,not_as_described,1,new_with_tags,1,0,1,1,3,0,579.97,0,0,0,none
CUST37477,ORD210973,accessories,2024-01-18,2024-02-06,19,7,0,2606.59,1,50,7,4,0.571,18,2,wrong_item_sent,0,new_with_tags,1,1,1,1,1,1,2422.14,0,3,1,price_abuse
CUST22156,ORD758894,electronics,2023-07-03,2023-07-13,10,30,1,579.74,0,0,1,3,1.0,330,1,not_as_described,1,new_with_tags,1,0,1,1,3,0,550.75,0,1,0,none
CUST94320,ORD428403,clothing,2024-04-29,2024-05-13,14,7,0,1392.1,1,13,25,1,0.04,1127,1,wrong_item_sent,1,new_without_tags,1,0,1,1,0,1,1322.5,0,0,0,none
CUST45221,ORD967960,footwear,2022-03-04,2022-03-10,6,7,1,263.31,1,16,23,1,0.043,222,1,size_issue,1,lightly_used,1,0,1,1,3,0,250.14,0,1,0,none
CUST89928,ORD143822,electronics,2022-01-29,2022-02-01,3,14,1,2126.42,0,0,29,2,0.069,631,1,defective_product,1,new_without_tags,1,0,1,1,1,1,2020.1,0,0,0,none
CUST16377,ORD922781,home_decor,2023-06-01,2023-06-19,18,30,1,1713.2,0,0,14,0,0.0,235,1,size_issue,1,new_with_tags,1,0,1,1,0,1,1627.54,0,0,0,none
CUST20101,ORD660046,clothing,2022-08-22,2022-09-07,16,7,0,1610.54,0,0,1,0,0.0,1276,1,wrong_item_sent,1,damaged,1,0,1,1,2,0,1530.01,0,2,0,none
CUST17669,ORD682324,electronics,2022-02-10,2022-02-25,15,7,0,1937.66,1,23,5,2,0.4,343,1,wrong_item_sent,1,new_without_tags,1,0,1,1,4,0,1840.78,0,2,0,none
CUST36738,ORD481128,footwear,2022-05-30,2022-06-05,6,7,1,916.82,0,0,8,3,0.375,226,1,size_issue,1,new_without_tags,1,0,1,1,6,0,870.98,0,1,0,none
CUST10562,ORD969793,home_decor,2022-10-17,2022-10-21,4,14,1,1041.23,0,0,8,3,0.375,1302,2,changed_mind,1,new_without_tags,1,0,1,1,4,0,989.17,0,1,0,none
CUST61996,ORD604201,footwear,2022-12-22,2022-12-29,7,30,1,926.6,1,20,7,0,0.0,417,1,defective_product,1,new_without_tags,1,0,1,1,3,0,880.27,0,0,0,none
CUST69616,ORD444406,clothing,2023-10-20,2023-11-01,12,7,0,441.44,0,0,2,1,0.5,1098,2,not_as_described,1,new_with_tags,1,0,1,1,2,0,419.37,0,0,0,none
CUST39902,ORD262240,electronics,2022-11-22,2022-12-04,12,30,1,1838.5,0,0,22,0,0.0,1438,2,size_issue,1,new_with_tags,0,1,1,1,6,0,1746.57,0,0,0,none
CUST80943,ORD964169,clothing,2022-10-29,2022-11-04,6,14,1,3740.74,1,36,2,8,1.0,180,1,size_issue,1,new_without_tags,1,0,1,1,1,1,3642.8,0,0,1,wardrobing
CUST81211,ORD612348,electronics,2022-12-20,2022-12-27,7,14,1,444.62,0,0,3,0,0.0,836,1,size_issue,1,new_with_tags,1,0,1,1,1,1,422.39,0,0,0,none
CUST11498,ORD851589,electronics,2023-05-09,2023-05-17,8,14,1,2860.98,0,0,20,2,0.1,686,1,wrong_item_sent,1,new_with_tags,1,0,1,1,2,0,2717.93,0,1,0,none
CUST29080,ORD476215,clothing,2023-06-09,2023-06-12,3,14,1,2591.89,1,5,23,3,0.13,826,1,changed_mind,1,new_with_tags,1,0,1,0,0,1,2462.3,0,1,0,none
CUST77467,ORD576557,clothing,2024-05-29,2024-06-05,7,30,1,1218.29,0,0,24,2,0.083,153,1,wrong_item_sent,1,new_without_tags,1,0,1,1,2,0,1157.38,0,0,0,none
CUST11930,ORD215543,electronics,2022-01-16,2022-02-05,20,14,0,2568.36,0,0,26,2,0.077,390,1,wrong_item_sent,1,new_with_tags,1,0,1,1,5,0,2439.94,0,0,0,none
CUST75435,ORD507980,footwear,2024-05-24,2024-06-11,18,7,0,3052.01,1,23,19,3,0.158,954,1,defective_product,1,new_without_tags,1,0,1,1,1,1,2899.41,0,0,0,none
CUST58689,ORD642479,footwear,2023-01-07,2023-01-22,15,7,0,1917.31,0,0,28,3,0.107,1161,1,size_issue,1,new_without_tags,1,0,1,1,6,0,1821.44,0,0,0,none
CUST58448,ORD108281,home_decor,2024-03-24,2024-04-07,14,14,1,902.57,1,15,12,3,0.25,1285,1,size_issue,1,new_with_tags,1,0,1,0,6,0,857.44,0,2,0,none
CUST40692,ORD648273,clothing,2024-04-28,2024-05-05,7,14,1,1135.76,0,0,5,3,0.6,637,1,wrong_item_sent,1,new_without_tags,1,0,1,1,6,0,1078.97,0,0,0,none
CUST92643,ORD848331,electronics,2023-01-13,2023-01-24,11,14,1,3644.26,1,44,5,8,1.0,41,5,not_as_described,0,new_without_tags,1,0,1,1,1,1,3601.3,0,0,1,account_abuse
CUST47110,ORD156986,home_decor,2022-04-30,2022-05-08,8,30,1,2434.38,0,0,26,3,0.115,302,1,defective_product,1,lightly_used,0,0,1,1,6,0,2312.66,0,1,0,none
CUST29976,ORD771709,electronics,2023-03-26,2023-04-07,12,14,1,2000.8,0,0,5,1,0.2,1210,1,size_issue,1,new_with_tags,1,0,1,1,4,0,1900.76,0,1,0,none
CUST82298,ORD729088,home_decor,2022-12-17,2023-01-04,18,14,0,1564.46,1,24,16,2,0.125,412,1,defective_product,1,new_with_tags,1,0,1,1,2,0,1486.24,0,1,0,none
CUST97580,ORD198886,home_decor,2023-09-11,2023-10-01,20,7,0,1319.33,0,0,10,2,0.2,732,1,size_issue,1,lightly_used,1,0,1,1,6,0,1253.36,0,1,0,none
CUST94092,ORD494847,clothing,2023-03-26,2023-04-11,16,30,1,1019.22,1,6,26,2,0.077,879,1,defective_product,1,new_without_tags,1,0,1,1,1,1,968.26,0,0,0,none
CUST56160,ORD749871,clothing,2023-04-03,2023-04-09,6,30,1,2541.29,1,6,29,3,0.103,1513,2,wrong_item_sent,1,new_with_tags,1,0,1,1,6,0,2414.23,0,0,0,none
CUST73944,ORD124844,home_decor,2023-03-11,2023-03-19,8,30,1,1053.36,0,0,21,2,0.095,1487,1,size_issue,1,new_without_tags,1,0,1,1,6,0,1000.69,0,1,0,none
CUST89058,ORD496267,clothing,2022-01-31,2022-02-12,12,30,1,1171.07,0,0,21,0,0.0,1108,1,defective_product,1,new_with_tags,1,0,1,1,5,0,1112.52,0,0,0,none
CUST50319,ORD512045,home_decor,2023-04-21,2023-05-03,12,14,1,1356.37,0,0,24,2,0.083,536,1,defective_product,1,new_with_tags,1,0,1,0,2,0,1288.55,0,0,0,none
CUST64138,ORD110537,clothing,2023-10-22,2023-11-04,13,30,1,957.53,0,0,14,0,0.0,329,1,wrong_item_sent,1,new_without_tags,1,0,1,0,5,0,909.65,0,0,0,none
CUST38974,ORD226125,home_decor,2022-07-10,2022-07-14,4,7,1,1562.11,0,0,12,8,0.667,366,2,not_as_described,0,new_without_tags,1,1,1,0,3,0,1416.05,1,0,1,refund_fishing
CUST56789,ORD644918,home_decor,2023-04-15,2023-04-26,11,30,1,1852.8,1,12,19,0,0.0,780,1,wrong_item_sent,1,lightly_used,1,0,1,1,2,0,1760.16,0,0,0,none
CUST32515,ORD552758,clothing,2022-05-07,2022-05-10,3,14,1,4473.57,0,0,3,5,1.0,256,1,not_as_described,1,new_with_tags,1,1,1,1,1,1,4397.29,0,0,1,refund_fishing
CUST69510,ORD855299,clothing,2024-05-24,2024-05-30,6,14,1,960.78,0,0,28,3,0.107,113,1,wrong_item_sent,1,new_with_tags,1,0,1,1,3,0,912.74,0,0,0,none
CUST57028,ORD704958,electronics,2022-04-17,2022-04-29,12,30,1,1690.42,0,0,19,0,0.0,1253,2,not_as_described,1,damaged,1,0,1,1,4,0,1605.9,0,1,0,none
CUST31544,ORD945241,electronics,2023-03-17,2023-03-20,3,7,1,1560.66,0,0,27,3,0.111,373,1,size_issue,1,new_without_tags,1,0,1,1,0,1,1482.63,0,0,0,none
CUST22622,ORD632599,electronics,2023-10-15,2023-10-25,10,30,1,788.73,1,7,13,2,0.154,1177,1,size_issue,1,lightly_used,1,0,1,1,2,0,749.29,0,0,0,none
CUST72784,ORD914419,clothing,2023-08-13,2023-08-20,7,7,1,1070.74,1,24,21,1,0.048,914,1,wrong_item_sent,1,lightly_used,1,0,1,1,6,0,1017.2,0,0,0,none
CUST35830,ORD875112,clothing,2024-01-10,2024-01-16,6,7,1,3168.54,0,0,21,2,0.095,698,2,wrong_item_sent,1,lightly_used,1,0,1,1,1,1,3010.11,0,0,0,none
CUST28899,ORD959416,home_decor,2022-09-22,2022-09-25,3,14,1,459.56,1,24,13,1,0.077,139,1,not_as_described,1,new_with_tags,1,0,1,1,6,0,436.58,0,0,0,none
CUST44629,ORD565455,clothing,2023-08-31,2023-09-07,7,30,1,2399.37,0,0,6,7,1.0,388,1,size_issue,1,new_without_tags,1,0,1,1,1,1,2369.97,1,1,1,wardrobing
CUST55593,ORD593348,electronics,2023-07-10,2023-07-19,9,14,1,1844.25,0,0,2,2,1.0,437,1,wrong_item_sent,1,lightly_used,1,0,1,1,2,0,1752.04,0,0,0,none
CUST31967,ORD405062,clothing,2023-07-26,2023-08-03,8,14,1,200.0,0,0,26,2,0.077,1340,1,size_issue,1,lightly_used,1,0,1,1,3,0,190.0,0,0,0,none
CUST34241,ORD627217,home_decor,2024-03-01,2024-03-07,6,30,1,1071.2,0,0,23,3,0.13,955,1,defective_product,1,new_with_tags,1,0,1,1,3,0,1017.64,0,2,0,none
CUST12815,ORD754489,accessories,2022-03-16,2022-03-18,2,14,1,3726.48,1,66,3,9,1.0,310,2,size_issue,1,lightly_used,1,0,1,1,4,0,3438.62,1,2,1,price_abuse
CUST27172,ORD255362,footwear,2023-03-10,2023-03-25,15,14,0,299.81,1,21,27,1,0.037,1436,1,wrong_item_sent,1,new_without_tags,1,0,1,1,5,0,284.82,0,0,0,none
CUST41775,ORD517302,electronics,2023-02-20,2023-03-03,11,30,1,699.45,0,0,14,0,0.0,1715,1,defective_product,1,new_with_tags,1,0,1,1,4,0,664.48,0,0,0,none
CUST91620,ORD691021,electronics,2022-09-02,2022-09-15,13,30,1,1119.62,0,0,13,3,0.231,704,1,wrong_item_sent,1,new_without_tags,1,0,1,1,3,0,1063.64,0,1,0,none
CUST16295,ORD306707,home_decor,2023-11-07,2023-11-22,15,14,0,1226.16,1,25,5,4,0.8,235,2,defective_product,0,lightly_used,1,0,1,1,2,0,1224.45,0,1,1,item_switching
CUST52725,ORD232858,accessories,2023-04-06,2023-04-26,20,30,1,1770.64,1,8,10,3,0.3,820,2,defective_product,1,new_with_tags,1,0,1,1,2,0,1682.11,0,0,0,none
CUST52389,ORD762233,clothing,2023-07-31,2023-08-10,10,30,1,2295.63,0,0,24,0,0.0,1258,1,defective_product,1,new_with_tags,1,0,1,1,3,0,2180.85,0,0,0,none
CUST90684,ORD391772,electronics,2022-12-28,2023-01-06,9,14,1,1357.83,0,0,21,3,0.143,126,1,size_issue,1,lightly_used,1,0,1,1,4,0,1289.94,0,0,0,none
CUST58571,ORD608768,clothing,2022-02-09,2022-02-21,12,30,1,570.94,0,0,12,3,0.25,1338,1,defective_product,1,new_with_tags,1,0,1,1,0,1,542.39,0,2,0,none
CUST42943,ORD877039,accessories,2022-10-24,2022-11-09,16,14,0,1077.02,0,0,2,2,1.0,1622,1,size_issue,1,new_with_tags,1,0,1,1,2,0,1023.17,0,1,0,none
CUST69048,ORD993415,clothing,2022-01-12,2022-01-18,6,14,1,3004.25,0,0,11,2,0.182,553,2,size_issue,1,new_with_tags,1,0,1,1,1,1,2854.04,0,0,0,none
CUST97340,ORD873964,home_decor,2022-01-06,2022-01-25,19,30,1,1720.0,0,0,24,0,0.0,1678,1,size_issue,1,new_with_tags,1,0,1,1,1,1,1634.0,0,1,0,none
CUST85771,ORD506963,clothing,2023-12-05,2023-12-14,9,7,0,3120.08,0,0,11,0,0.0,1459,1,defective_product,1,lightly_used,1,0,1,1,3,0,2964.08,0,0,0,none
CUST63843,ORD728896,home_decor,2023-10-04,2023-10-09,5,14,1,732.47,0,0,4,0,0.0,751,1,defective_product,1,new_without_tags,1,0,1,1,0,1,695.85,0,1,0,none
CUST70513,ORD505537,clothing,2022-09-29,2022-10-18,19,30,1,1157.14,0,0,18,2,0.111,496,1,size_issue,1,new_without_tags,1,0,1,1,1,1,1099.28,0,0,0,none
CUST33338,ORD195775,clothing,2022-01-02,2022-01-06,4,14,1,881.29,0,0,18,3,0.167,1435,1,size_issue,1,new_with_tags,1,0,1,1,3,0,837.23,0,0,0,none
CUST42747,ORD403815,electronics,2022-07-05,2022-07-14,9,7,0,5731.79,1,42,8,13,1.0,38,7,size_issue,1,damaged,1,0,1,1,3,0,5519.63,0,2,1,account_abuse
CUST25572,ORD330189,footwear,2022-03-12,2022-03-20,8,14,1,1631.91,0,0,7,0,0.0,265,1,size_issue,1,new_with_tags,1,0,1,1,6,0,1550.31,0,0,0,none
CUST59969,ORD207892,clothing,2023-11-06,2023-11-19,13,7,0,1938.32,1,11,9,3,0.333,1589,1,defective_product,1,new_with_tags,1,0,1,1,6,0,1841.4,0,0,0,none
CUST70762,ORD652436,accessories,2023-09-29,2023-10-07,8,7,0,1117.95,0,0,11,0,0.0,362,1,size_issue,1,new_with_tags,1,0,1,0,5,0,1062.05,0,0,0,none
CUST60911,ORD102342,clothing,2022-07-11,2022-07-22,11,30,1,1775.79,1,18,18,0,0.0,1614,1,changed_mind,1,lightly_used,1,0,1,1,4,0,1687.0,0,0,0,none
CUST63841,ORD777568,accessories,2024-05-30,2024-06-03,4,14,1,1938.39,0,0,14,1,0.071,481,1,wrong_item_sent,1,new_with_tags,1,0,1,1,0,1,1841.47,0,0,0,none
CUST84787,ORD814220,clothing,2022-04-20,2022-05-03,13,30,1,5465.46,1,37,8,8,1.0,29,1,defective_product,0,damaged,1,0,1,0,1,1,5068.27,0,1,1,item_switching
CUST19506,ORD362285,clothing,2022-08-10,2022-08-18,8,7,0,712.39,0,0,1,0,0.0,972,1,size_issue,1,new_with_tags,1,0,1,1,3,0,676.77,0,0,0,none
CUST28342,ORD688130,electronics,2022-09-08,2022-09-19,11,14,1,1675.85,0,0,14,3,0.214,652,1,wrong_item_sent,1,new_with_tags,0,1,1,1,0,1,1592.06,0,0,0,none
CUST19038,ORD579995,electronics,2022-06-22,2022-07-05,13,30,1,850.27,0,0,9,1,0.111,395,1,defective_product,1,lightly_used,1,0,1,1,1,1,807.76,0,0,0,none
CUST58915,ORD515131,home_decor,2023-02-26,2023-03-18,20,30,1,821.12,0,0,13,3,0.231,403,1,size_issue,1,new_with_tags,1,0,1,1,5,0,780.06,0,0,0,none
CUST87194,ORD106092,footwear,2022-04-23,2022-05-02,9,30,1,948.27,0,0,17,1,0.059,1542,1,size_issue,1,new_without_tags,1,0,1,1,0,1,900.86,0,0,0,none
CUST96529,ORD547416,electronics,2022-02-19,2022-03-10,19,30,1,1591.84,0,0,27,2,0.074,1060,1,changed_mind,1,lightly_used,1,0,1,1,3,0,1512.25,0,0,0,none
CUST67637,ORD100561,clothing,2023-04-04,2023-04-12,8,14,1,2681.11,1,12,4,0,0.0,847,1,wrong_item_sent,1,new_without_tags,1,0,1,1,2,0,2547.05,0,0,0,none
CUST79588,ORD146050,footwear,2023-08-04,2023-08-18,14,14,1,1949.32,0,0,9,0,0.0,1141,1,size_issue,1,new_without_tags,1,0,1,1,4,0,1851.85,0,0,0,none
CUST71235,ORD214699,footwear,2022-03-07,2022-03-16,9,7,0,1831.82,0,0,24,3,0.125,1571,1,size_issue,1,new_without_tags,1,0,1,0,2,0,1740.23,0,0,0,none
CUST93296,ORD791792,clothing,2022-09-19,2022-09-29,10,30,1,200.0,1,17,9,3,0.333,844,1,wrong_item_sent,1,new_without_tags,1,0,1,1,3,0,190.0,0,0,0,none
CUST21665,ORD162471,accessories,2023-08-25,2023-09-11,17,7,0,1660.74,1,17,26,2,0.077,712,1,size_issue,1,new_without_tags,1,0,1,1,0,1,1577.7,0,0,0,none
CUST24969,ORD344703,electronics,2022-12-05,2022-12-16,11,30,1,2234.47,0,0,25,1,0.04,1517,1,size_issue,1,lightly_used,1,0,1,1,4,0,2122.75,0,0,0,none
CUST84381,ORD541508,clothing,2022-01-17,2022-02-06,20,14,0,990.13,0,0,22,3,0.136,770,1,not_as_described,0,new_without_tags,1,0,1,1,6,0,940.62,0,0,0,none
CUST36213,ORD566515,clothing,2023-01-26,2023-01-31,5,30,1,5357.38,1,24,2,7,1.0,170,2,not_as_described,1,lightly_used,1,0,1,0,0,1,4940.21,1,2,1,wardrobing
CUST93746,ORD840719,electronics,2023-01-17,2023-02-06,20,7,0,1903.01,0,0,2,1,0.5,1454,1,size_issue,1,new_with_tags,1,0,1,1,0,1,1807.86,0,0,0,none
CUST34832,ORD973176,home_decor,2024-02-14,2024-03-01,16,14,0,2057.84,0,0,9,1,0.111,211,1,not_as_described,1,new_without_tags,1,0,1,1,4,0,1954.95,0,0,0,none
CUST87831,ORD643725,clothing,2023-05-07,2023-05-19,12,14,1,1088.33,0,0,23,2,0.087,960,1,size_issue,0,new_without_tags,1,0,1,1,4,0,1033.91,0,0,0,none
CUST35825,ORD468948,footwear,2022-04-03,2022-04-09,6,14,1,1606.47,0,0,9,0,0.0,1007,1,size_issue,1,damaged,1,0,1,1,5,0,1526.15,0,0,0,none
CUST98356,ORD297045,electronics,2022-09-27,2022-10-16,19,7,0,1299.37,0,0,4,1,0.25,1457,1,defective_product,1,new_with_tags,1,0,1,1,6,0,1234.4,0,0,0,none
CUST17346,ORD135494,clothing,2022-04-09,2022-04-24,15,30,1,1769.0,0,0,3,2,0.667,996,1,defective_product,1,new_with_tags,1,0,1,1,6,0,1680.55,0,0,0,none
CUST22074,ORD550987,clothing,2022-08-03,2022-08-04,1,30,1,2120.03,1,57,19,8,0.421,195,2,wrong_item_sent,0,new_with_tags,1,0,1,1,3,0,2005.67,0,1,1,price_abuse
CUST40021,ORD683707,electronics,2022-01-27,2022-02-08,12,14,1,816.72,0,0,12,0,0.0,1100,1,size_issue,1,new_with_tags,1,0,1,1,1,1,775.88,0,0,0,none
CUST35330,ORD557729,clothing,2023-07-15,2023-07-21,6,7,1,2726.98,0,0,14,1,0.071,1483,1,size_issue,1,new_with_tags,1,0,1,1,4,0,2590.63,0,0,0,none
CUST97207,ORD654844,home_decor,2022-04-14,2022-04-21,7,14,1,1299.85,0,0,15,1,0.067,880,1,defective_product,1,lightly_used,1,0,1,1,3,0,1234.86,0,0,0,none
