days_to_return_request,return_window_days,within_return_window,order_value_inr,discount_applied,discount_percent,customer_total_orders,customer_past_returns,customer_return_rate,customer_account_age_days,same_address_accounts,item_returned_matches_order,delivery_confirmed,claimed_non_delivery,return_pickup_attempted,return_pickup_successful,return_request_weekday,return_after_weekend,refund_amount_inr,previous_fraud_flag,support_contacts_pre_return,refund_ratio,high_value_high_returner,new_account_flag,multi_account_flag,false_non_delivery,pickup_failed_flag,discount_abuse_flag,weekend_return_flag,pre_return_support_flag,return_reason_enc,item_condition_enc,cat_accessories,cat_clothing,cat_electronics,cat_footwear,cat_home_decor
3,30,1,1844.84,0,0,22,2,0.091,930,1,1,1,0,1,0,5,0,1752.6,0,0,0.95,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
7,30,1,200.0,1,16,24,3,0.125,914,1,1,1,0,1,1,1,1,190.0,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12,14,1,2274.12,1,7,19,0,0.0,452,1,1,1,0,1,1,4,0,2160.41,0,2,0.95,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
15,14,0,2051.55,0,0,24,1,0.042,1640,1,1,1,0,1,1,3,0,1948.97,0,0,0.95,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,14,1,3626.22,0,0,19,8,0.421,208,1,1,1,1,1,1,1,1,3366.12,1,0,0.9283,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0
15,30,1,200.0,0,0,19,2,0.105,1754,1,1,1,0,1,1,6,0,190.0,0,1,0.95,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
4,14,1,1343.77,0,0,13,1,0.077,1196,1,1,1,0,1,1,0,1,1276.58,0,2,0.95,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0
11,14,1,1850.39,1,20,21,2,0.095,1368,2,0,1,0,1,1,4,0,1757.87,0,1,0.95,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10,14,1,486.57,1,7,26,0,0.0,1049,1,1,1,0,1,0,4,0,462.24,0,1,0.95,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20,14,0,2070.32,1,16,27,3,0.111,858,1,1,1,0,1,1,5,0,1966.8,0,1,0.95,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1
3,7,1,2490.76,1,5,23,0,0.0,1498,1,1,1,0,1,1,0,1,2366.22,0,0,0.95,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
5,14,1,3821.74,0,0,29,0,0.0,873,1,1,1,0,1,1,4,0,3630.65,0,1,0.95,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,14,1,5560.4,0,0,17,8,0.471,142,1,0,1,1,1,1,1,1,5097.06,0,1,0.9167,1,0,0,1,0,0,1,0,4,1,0,0,0,1,0
4,14,1,1177.72,0,0,27,2,0.074,616,1,1,1,0,1,1,5,0,1118.83,0,0,0.95,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
7,14,1,5426.53,0,0,7,12,1.0,45,5,1,1,0,1,1,0,1,5188.31,0,0,0.9561,1,0,1,0,0,0,1,0,4,0,0,1,0,0,0
6,30,1,1825.54,0,0,23,1,0.043,1209,2,1,1,0,1,1,4,0,1734.26,0,1,0.95,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0
20,14,0,3262.93,0,0,8,3,0.375,441,1,1,1,0,1,1,2,0,3099.78,0,0,0.95,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
12,30,1,646.74,1,11,14,1,0.071,943,1,1,1,0,1,1,0,1,614.4,0,0,0.95,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
5,7,1,1183.16,1,7,25,2,0.08,647,1,1,1,0,1,1,5,0,1124.0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,14,0,1493.35,0,0,5,3,0.6,1518,1,1,1,0,1,1,4,0,1418.68,0,0,0.95,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
11,14,1,200.0,1,7,15,0,0.0,1211,2,1,1,0,1,1,6,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,30,1,1058.3,1,23,5,1,0.2,483,1,1,1,0,1,1,5,0,1005.38,0,0,0.95,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
7,7,1,1680.15,0,0,29,3,0.103,319,1,1,1,0,1,1,0,1,1596.14,0,0,0.95,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0
15,14,0,3815.21,0,0,4,7,1.0,127,1,0,1,0,0,0,1,1,3540.22,0,1,0.9279,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3,7,1,4793.54,0,0,12,3,0.25,358,2,0,1,0,1,1,5,0,4444.45,0,2,0.9272,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0
15,14,0,1201.49,1,5,22,3,0.136,1070,2,1,1,0,1,0,6,0,1141.42,0,0,0.95,0,0,0,0,1,0,0,0,4,2,0,0,0,1,0
1,30,1,1921.57,1,38,13,4,0.308,25,2,1,1,1,1,1,3,0,1887.99,1,2,0.9825,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0
8,7,0,1454.75,0,0,20,3,0.15,1300,1,1,1,0,1,1,2,0,1382.01,0,0,0.95,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0
17,30,1,791.54,1,11,11,0,0.0,1311,1,1,1,0,1,1,6,0,751.96,0,1,0.95,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
15,14,0,1544.19,0,0,4,1,0.25,539,1,1,1,0,1,1,1,1,1466.98,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,7,1,3463.65,1,28,17,3,0.176,16,2,0,1,0,1,1,1,1,3378.67,1,0,0.9755,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0
6,14,1,1861.82,0,0,24,0,0.0,1376,1,1,0,1,1,1,0,1,1768.73,0,0,0.95,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0
16,14,0,1895.32,0,0,22,2,0.091,1614,1,1,1,0,1,1,0,1,1800.55,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,14,1,2971.11,0,0,4,6,1.0,330,2,1,1,0,1,1,1,1,2897.44,1,0,0.9752,0,0,0,0,0,0,1,0,4,2,0,0,0,1,0
3,14,1,2050.69,1,18,7,1,0.143,600,1,1,1,0,1,0,2,0,1948.16,0,0,0.95,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5,30,1,4803.43,1,47,10,3,0.3,239,2,1,1,0,1,1,0,1,4741.36,0,2,0.9871,0,0,0,0,0,0,1,1,3,2,0,0,0,1,0
5,14,1,4207.68,1,69,10,7,0.7,295,3,1,1,0,1,0,4,0,3880.04,1,1,0.9221,1,0,1,0,1,1,0,0,4,2,0,1,0,0,0
3,30,1,925.48,1,24,23,2,0.087,1732,1,1,1,0,1,1,5,0,879.21,0,0,0.95,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
6,14,1,200.0,1,14,23,2,0.087,1645,1,1,1,0,1,1,2,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
18,30,1,1473.98,0,0,18,2,0.111,702,1,1,1,0,1,1,5,0,1400.28,0,0,0.95,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
12,14,1,777.26,0,0,13,3,0.231,622,1,1,1,0,1,1,6,0,738.4,0,1,0.95,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
12,14,1,922.39,0,0,13,3,0.231,725,1,1,1,0,1,1,4,0,876.27,0,0,0.95,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
15,30,1,1764.6,1,7,15,2,0.133,499,1,1,1,0,1,1,3,0,1676.37,0,0,0.95,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0
6,7,1,2074.13,0,0,1,1,1.0,280,1,1,0,1,1,1,3,0,1970.42,0,0,0.95,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0
3,30,1,2387.78,0,0,3,1,0.333,288,1,1,1,0,1,1,1,1,2268.39,0,0,0.95,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0
9,7,0,2882.11,0,0,20,2,0.1,959,1,1,1,0,1,1,2,0,2738.0,0,0,0.95,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,30,1,1025.94,1,5,29,1,0.034,776,1,1,1,0,1,1,4,0,974.64,0,0,0.95,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
13,30,1,949.33,1,6,17,0,0.0,232,1,1,1,0,1,1,2,0,901.86,0,1,0.95,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
14,14,1,2808.09,0,0,9,1,0.111,658,2,1,1,0,1,1,5,0,2667.69,0,0,0.95,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
10,14,1,3679.75,1,14,19,6,0.316,257,1,0,1,0,1,1,0,1,3316.61,0,1,0.9013,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1
15,30,1,1567.02,0,0,18,0,0.0,1525,1,1,1,0,1,1,6,0,1488.67,0,0,0.95,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
11,14,1,1579.26,1,27,13,4,0.308,187,2,0,1,0,1,1,0,1,1524.43,0,3,0.9653,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0
6,30,1,1324.31,0,0,8,0,0.0,646,1,1,1,0,1,1,3,0,1258.09,0,1,0.95,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
14,30,1,1183.83,1,22,14,3,0.214,464,1,1,1,0,1,1,6,0,1124.64,0,0,0.95,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
4,7,1,1366.49,0,0,22,2,0.091,913,1,1,1,0,1,1,5,0,1298.17,0,0,0.95,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15,30,1,3102.91,1,31,14,5,0.357,33,1,1,1,0,0,0,3,0,2863.01,0,2,0.9227,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0
18,14,0,2413.92,1,19,8,3,0.375,1702,1,1,1,0,1,1,2,0,2293.22,0,0,0.95,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
15,14,0,1339.09,0,0,16,2,0.125,314,1,1,1,0,1,1,0,1,1272.14,0,0,0.95,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
20,14,0,1547.14,1,64,8,8,1.0,195,3,1,1,0,1,1,6,0,1468.46,1,1,0.9491,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
19,30,1,1910.41,1,21,17,2,0.118,1558,1,1,1,0,1,1,1,1,1814.89,0,1,0.95,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0
2,14,1,4117.07,1,22,12,4,0.333,222,1,0,1,0,1,1,6,0,3708.53,0,0,0.9008,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0
12,14,1,1513.83,1,10,18,1,0.056,1671,1,1,1,0,1,1,6,0,1438.14,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,14,0,2209.71,1,8,20,1,0.05,431,1,1,1,0,1,1,6,0,2099.22,0,0,0.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,14,1,2059.97,0,0,15,3,0.2,746,1,1,1,0,1,1,6,0,1956.97,0,0,0.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,14,1,2510.75,0,0,22,3,0.136,1436,1,1,1,0,1,1,2,0,2385.21,0,0,0.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17,30,1,1979.11,0,0,8,0,0.0,1461,1,1,1,0,1,1,0,1,1880.15,0,1,0.95,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0
14,14,1,667.63,1,9,28,3,0.107,723,1,1,1,0,1,0,3,0,634.25,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,7,1,3808.94,1,21,11,5,0.455,338,1,0,1,0,1,0,0,1,3505.72,0,2,0.9204,1,0,0,0,1,0,1,1,0,2,0,1,0,0,0
11,14,1,686.34,0,0,6,1,0.167,454,1,1,1,0,1,1,3,0,652.02,0,0,0.95,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0
17,30,1,1711.71,0,0,10,0,0.0,743,1,1,1,0,1,1,2,0,1626.12,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,30,1,2406.72,0,0,17,8,0.471,298,2,0,1,0,1,0,1,1,2255.05,0,1,0.937,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0
3,7,1,2661.63,0,0,28,3,0.107,1290,1,1,1,0,1,1,0,1,2528.55,0,0,0.95,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0
16,14,0,1702.58,1,10,6,0,0.0,504,1,1,1,0,1,1,6,0,1617.45,0,0,0.95,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0
5,30,1,448.91,0,0,4,0,0.0,1786,1,1,1,0,1,1,1,1,426.46,0,0,0.95,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
20,14,0,1923.5,1,9,9,1,0.111,1570,1,1,1,0,1,1,1,1,1827.32,0,2,0.95,0,0,0,0,0,0,1,1,3,1,0,0,0,1,0
18,30,1,1162.35,0,0,18,1,0.056,197,1,1,1,0,1,1,5,0,1104.23,0,0,0.95,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,14,1,200.0,1,22,20,1,0.05,1426,1,1,1,0,1,1,3,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
4,30,1,3966.63,1,26,6,12,1.0,11,5,0,0,0,1,1,1,1,3920.93,1,1,0.9885,1,1,1,0,0,0,1,0,4,2,0,0,1,0,0
16,7,0,771.87,1,8,7,2,0.286,1226,1,1,1,0,1,1,6,0,733.28,0,0,0.95,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6,14,1,1509.21,0,0,3,0,0.0,181,1,1,1,0,1,1,1,1,1433.75,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,30,1,1680.11,0,0,26,3,0.115,1154,1,1,1,0,1,1,5,0,1596.1,0,1,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,7,0,200.0,1,15,12,3,0.25,1317,1,1,1,0,1,1,5,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
4,14,1,2357.64,1,63,3,8,1.0,12,1,1,1,1,1,0,4,0,2256.93,0,0,0.9573,0,1,0,1,1,1,0,0,4,1,0,1,0,0,0
16,30,1,4916.52,1,28,2,6,1.0,34,6,1,1,0,0,0,0,1,4447.88,0,1,0.9047,1,0,1,0,0,0,1,0,2,2,0,0,0,1,0
6,14,1,200.0,0,0,28,3,0.107,839,1,1,1,0,1,1,6,0,190.0,0,1,0.95,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,30,1,2357.77,0,0,6,3,0.5,489,1,0,1,0,1,1,0,1,2239.88,0,1,0.95,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
14,14,1,200.0,0,0,24,3,0.125,969,1,1,1,0,1,1,1,1,190.0,0,0,0.95,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
16,30,1,1196.69,1,24,23,0,0.0,507,1,1,1,0,1,1,3,0,1136.86,0,1,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,30,1,2134.36,1,18,8,1,0.125,166,1,1,1,0,1,1,0,1,2027.64,0,0,0.95,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
5,7,1,2162.9,0,0,12,1,0.083,1278,2,1,1,0,1,1,5,0,2054.76,0,1,0.95,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
19,14,0,1733.89,0,0,15,3,0.2,1708,1,1,1,0,1,1,0,1,1647.2,0,0,0.95,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0
4,14,1,200.0,0,0,28,1,0.036,1120,1,1,1,0,1,1,2,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
13,30,1,2056.37,1,13,20,2,0.1,769,1,1,1,0,1,1,2,0,1953.55,0,0,0.95,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
16,14,0,2868.98,0,0,6,12,1.0,43,3,1,1,0,1,1,5,0,2780.9,0,2,0.9693,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0
20,7,0,865.65,0,0,27,3,0.111,601,1,1,1,0,1,0,3,0,822.37,0,0,0.95,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0
7,14,1,1599.65,0,0,25,1,0.04,203,1,1,1,0,1,1,1,1,1519.67,0,1,0.95,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0
14,30,1,2449.02,1,8,6,3,0.5,1651,1,1,1,0,1,1,5,0,2326.57,0,0,0.95,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
19,14,0,800.31,0,0,16,0,0.0,1799,1,1,1,0,1,1,5,0,760.29,0,0,0.95,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
9,30,1,2584.19,1,16,3,1,0.333,1092,1,1,1,0,1,1,0,1,2454.98,0,0,0.95,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0
25,7,0,2442.0,1,42,3,3,1.0,107,1,0,1,0,1,1,5,0,2206.19,0,0,0.9034,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
13,14,1,2143.53,0,0,5,2,0.4,1373,1,1,1,0,1,1,4,0,2036.35,0,0,0.95,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
9,7,0,1464.3,0,0,19,2,0.105,475,1,1,1,0,1,1,6,0,1391.08,0,1,0.95,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0
14,14,1,1402.2,0,0,7,2,0.286,298,2,1,1,0,1,1,4,0,1332.09,0,1,0.95,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
18,30,1,1410.83,0,0,9,0,0.0,1162,1,1,1,0,1,1,3,0,1340.29,0,1,0.95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,14,1,1423.0,0,0,19,3,0.158,1225,1,1,1,0,1,1,0,1,1351.85,0,1,0.95,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
18,14,0,1184.02,1,6,25,0,0.0,880,2,1,1,0,1,1,5,0,1124.82,0,0,0.95,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
5,7,1,1699.32,0,0,29,0,0.0,153,1,0,1,0,1,1,3,0,1614.35,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,14,1,2733.88,1,7,21,0,0.0,1183,2,1,1,0,1,1,6,0,2597.19,0,0,0.95,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
5,14,1,2822.8,1,8,27,0,0.0,1283,1,1,1,0,1,1,1,1,2681.66,0,0,0.95,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3,30,1,2755.8,0,0,1,2,1.0,270,1,1,1,0,1,1,1,1,2618.01,0,0,0.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,14,0,296.75,1,19,23,2,0.087,1129,1,1,1,0,1,1,2,0,281.91,0,0,0.95,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0
4,14,1,782.55,1,9,7,3,0.429,1263,1,1,1,0,1,1,0,1,743.42,0,1,0.95,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1
10,14,1,763.81,0,0,9,2,0.222,372,1,1,1,0,1,1,6,0,725.62,0,0,0.95,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
4,7,1,1470.26,0,0,6,2,0.333,1145,2,1,1,0,1,1,5,0,1396.75,0,0,0.95,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
16,14,0,1649.23,1,22,23,3,0.13,1385,1,1,1,0,1,1,1,1,1566.77,0,0,0.95,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
3,14,1,2060.01,1,9,16,3,0.188,693,1,1,1,0,1,1,3,0,1957.01,0,0,0.95,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
18,14,0,1295.66,0,0,3,3,1.0,734,1,1,1,0,1,1,3,0,1230.88,0,0,0.95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11,14,1,200.0,1,23,17,2,0.118,510,1,1,1,0,1,1,2,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
15,7,0,892.06,0,0,25,3,0.12,207,1,1,1,0,1,1,5,0,847.46,0,0,0.95,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,7,0,2382.59,0,0,3,0,0.0,190,2,1,1,0,1,1,0,1,2263.46,0,0,0.95,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
9,14,1,1363.78,1,7,8,0,0.0,1270,1,1,1,0,1,1,6,0,1295.59,0,0,0.95,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
8,14,1,1898.51,1,8,2,3,1.0,1253,1,1,1,0,1,1,3,0,1803.58,0,1,0.95,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
8,30,1,1937.25,0,0,28,1,0.036,1506,1,1,1,0,1,1,5,0,1840.39,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,7,0,981.5,0,0,8,0,0.0,1389,1,1,1,0,1,0,6,0,932.42,0,0,0.95,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
12,7,0,1854.18,0,0,20,3,0.15,1653,1,1,1,0,1,1,0,1,1761.47,0,0,0.95,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0
6,7,1,1062.53,1,8,12,0,0.0,706,1,1,1,0,1,1,1,1,1009.4,0,1,0.95,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,7,1,1120.05,1,14,10,0,0.0,1202,1,1,1,0,1,1,6,0,1064.05,0,1,0.95,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
4,7,1,2265.66,1,19,11,0,0.0,595,1,1,1,0,1,1,6,0,2152.38,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,30,1,1527.24,1,22,24,0,0.0,1386,1,1,1,0,1,1,6,0,1450.88,0,1,0.95,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
10,14,1,915.22,1,18,28,1,0.036,759,1,1,1,0,1,1,2,0,869.46,0,1,0.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,7,0,1399.57,0,0,19,3,0.158,344,1,1,1,0,1,1,4,0,1329.59,0,0,0.95,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
18,30,1,2359.89,1,17,17,2,0.118,240,1,0,1,0,1,0,5,0,2241.9,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,14,0,369.71,1,18,26,3,0.115,1774,1,1,1,0,1,1,6,0,351.22,0,1,0.95,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5,14,1,1303.28,0,0,10,2,0.2,109,1,1,1,0,1,1,5,0,1238.12,0,2,0.95,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0
14,30,1,2503.26,0,0,4,3,0.75,151,2,1,1,0,1,1,3,0,2378.1,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,30,1,1306.38,1,23,19,2,0.105,1301,1,1,1,0,1,0,4,0,1241.06,0,0,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12,7,0,1481.88,1,15,10,1,0.1,755,1,1,1,0,1,1,3,0,1407.79,0,0,0.95,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
12,14,1,1341.09,0,0,11,2,0.182,1028,1,1,1,0,1,1,4,0,1274.04,0,0,0.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,14,1,1207.05,0,0,6,3,0.5,1647,1,1,1,0,1,1,2,0,1146.7,0,0,0.95,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0
11,14,1,2778.4,0,0,23,2,0.087,906,1,1,1,0,1,1,4,0,2639.48,0,0,0.95,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,30,1,200.0,1,20,17,2,0.118,101,1,1,1,0,1,1,6,0,190.0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,14,1,1974.2,0,0,10,1,0.1,144,1,1,1,0,1,1,0,1,1875.49,0,0,0.95,0,0,0,0,0,0,1,0,2,3,0,0,0,1,0
10,14,1,3494.81,0,0,17,7,0.412,250,1,0,1,0,1,1,3,0,3180.71,1,1,0.9101,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0
3,14,1,1329.09,0,0,7,1,0.143,496,1,1,1,0,1,1,3,0,1262.64,0,1,0.95,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17,30,1,1830.32,1,10,15,2,0.133,197,1,1,1,0,1,1,2,0,1738.8,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,14,0,1534.96,1,12,2,1,0.5,1482,1,1,1,0,1,1,0,1,1458.21,0,0,0.95,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0
